id	label	description	x	y	cluster	weight<Documents>	weight<Co-authorships>
770	"lin, lt"	"<table><tr><td>Author:</td><td>lin, lt</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.9133	0.088	1	2	94
794	"lowe, l"	"<table><tr><td>Author:</td><td>lowe, l</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.5467	-0.0426	1	2	94
809	"mackenzie, kl"	"<table><tr><td>Author:</td><td>mackenzie, kl</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	1.0426	-0.1067	1	2	73
811	"magnani, c"	"<table><tr><td>Author:</td><td>magnani, c</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>40</td></tr></table>"	-0.7063	0.0886	4	3	40
822	"mao, jh"	"<table><tr><td>Author:</td><td>mao, jh</td></tr><tr><td>Documents:</td><td>6</td></tr><tr><td>Co-authorships:</td><td>12</td></tr></table>"	-1.2521	0.012	7	6	12
841	"matheu, a"	"<table><tr><td>Author:</td><td>matheu, a</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	1.0161	-0.2881	1	2	73
872	"memeo, l"	"<table><tr><td>Author:</td><td>memeo, l</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.4272	0.2447	2	2	82
875	"metayer, c"	"<table><tr><td>Author:</td><td>metayer, c</td></tr><tr><td>Documents:</td><td>12</td></tr><tr><td>Co-authorships:</td><td>81</td></tr></table>"	-0.6438	0.467	5	12	81
879	"miligi, l"	"<table><tr><td>Author:</td><td>miligi, l</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>35</td></tr></table>"	-0.8066	0.0166	4	2	35
881	"milne, e"	"<table><tr><td>Author:</td><td>milne, e</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>30</td></tr></table>"	-0.7804	0.1959	4	2	30
891	"mohammed, si"	"<table><tr><td>Author:</td><td>mohammed, si</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.8879	-0.3437	1	2	73
894	"mondello, c"	"<table><tr><td>Author:</td><td>mondello, c</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.5356	0.1618	2	2	82
923	"nahta, r"	"<table><tr><td>Author:</td><td>nahta, r</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.6292	-0.0052	1	2	94
935	"niccolai, e"	"<table><tr><td>Author:</td><td>niccolai, e</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.8298	-0.1791	1	2	73
946	"nowsheen, s"	"<table><tr><td>Author:</td><td>nowsheen, s</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	1.1342	-0.1249	1	2	73
957	"olsen, ak"	"<table><tr><td>Author:</td><td>olsen, ak</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.326	0.0814	2	2	82
964	"ostrosky-wegman, p"	"<table><tr><td>Author:</td><td>ostrosky-wegman, p</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.4745	0.0945	2	2	82
988	"pavanello, s"	"<table><tr><td>Author:</td><td>pavanello, s</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>100</td></tr></table>"	0.0302	0.1081	2	3	100
1005	"petridou, et"	"<table><tr><td>Author:</td><td>petridou, et</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>30</td></tr></table>"	-0.9493	0.2266	4	2	30
1014	"pinto, la"	"<table><tr><td>Author:</td><td>pinto, la</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>44</td></tr></table>"	-0.7365	-0.6293	3	2	44
1038	"qiu, cy"	"<table><tr><td>Author:</td><td>qiu, cy</td></tr><tr><td>Documents:</td><td>4</td></tr><tr><td>Co-authorships:</td><td>74</td></tr></table>"	-0.4783	-0.4884	3	4	74
1045	"raju, j"	"<table><tr><td>Author:</td><td>raju, j</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.4178	0.475	2	2	82
1049	"rappaport, sm"	"<table><tr><td>Author:</td><td>rappaport, sm</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>26</td></tr></table>"	-0.4511	0.1358	5	2	26
1054	"rathmell, wk"	"<table><tr><td>Author:</td><td>rathmell, wk</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.5522	-0.1294	1	2	94
1063	"reiss, b"	"<table><tr><td>Author:</td><td>reiss, b</td></tr><tr><td>Documents:</td><td>4</td></tr><tr><td>Co-authorships:</td><td>74</td></tr></table>"	-0.5748	-0.3672	3	4	74
1080	"robey, rb"	"<table><tr><td>Author:</td><td>robey, rb</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.8494	0.0283	1	2	94
1083	"rodier, f"	"<table><tr><td>Author:</td><td>rodier, f</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.7394	-0.3269	1	2	73
1086	"rojas, e"	"<table><tr><td>Author:</td><td>rojas, e</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.6735	0.4288	2	2	82
1088	"roman, e"	"<table><tr><td>Author:</td><td>roman, e</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>35</td></tr></table>"	-0.8723	0.0058	4	2	35
1096	"rothman, n"	"<table><tr><td>Author:</td><td>rothman, n</td></tr><tr><td>Documents:</td><td>5</td></tr><tr><td>Co-authorships:</td><td>92</td></tr></table>"	-0.6639	-0.229	3	5	92
1100	"roy, r"	"<table><tr><td>Author:</td><td>roy, r</td></tr><tr><td>Documents:</td><td>4</td></tr><tr><td>Co-authorships:</td><td>99</td></tr></table>"	0.0895	0.3523	5	4	99
1105	"rudant, j"	"<table><tr><td>Author:</td><td>rudant, j</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>30</td></tr></table>"	-0.8501	0.3151	4	2	30
1111	"ryan, ep"	"<table><tr><td>Author:</td><td>ryan, ep</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.7092	-0.0275	1	2	94
1116	"salem, hk"	"<table><tr><td>Author:</td><td>salem, hk</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.5809	0.2922	2	2	82
1119	"salsamendi, ald"	"<table><tr><td>Author:</td><td>salsamendi, ald</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.6215	0.3601	2	2	82
1148	"schuz, j"	"<table><tr><td>Author:</td><td>schuz, j</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>35</td></tr></table>"	-0.7259	0.2426	4	3	35
1160	"seow, wj"	"<table><tr><td>Author:</td><td>seow, wj</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>58</td></tr></table>"	-0.6077	-0.614	3	3	58
1181	"shen, m"	"<table><tr><td>Author:</td><td>shen, m</td></tr><tr><td>Documents:</td><td>4</td></tr><tr><td>Co-authorships:</td><td>74</td></tr></table>"	-0.6126	-0.4333	3	4	74
1185	"shiels, ms"	"<table><tr><td>Author:</td><td>shiels, ms</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>44</td></tr></table>"	-0.749	-0.5294	3	2	44
1204	"singh, n"	"<table><tr><td>Author:</td><td>singh, n</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>127</td></tr></table>"	0.5787	0.0658	2	3	127
1215	"smedby, ke"	"<table><tr><td>Author:</td><td>smedby, ke</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>18</td></tr></table>"	-0.8137	-0.1092	4	2	18
1216	"smirnov, iv"	"<table><tr><td>Author:</td><td>smirnov, iv</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>15</td></tr></table>"	-0.5665	0.5426	5	2	15
1220	"smith, mt"	"<table><tr><td>Author:</td><td>smith, mt</td></tr><tr><td>Documents:</td><td>6</td></tr><tr><td>Co-authorships:</td><td>93</td></tr></table>"	-0.661	-0.3111	3	6	93
1235	"spector, lg"	"<table><tr><td>Author:</td><td>spector, lg</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>30</td></tr></table>"	-0.8183	0.2513	4	2	30
1245	"stampfer, m"	"<table><tr><td>Author:</td><td>stampfer, m</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>22</td></tr></table>"	-0.9679	-0.2055	4	3	22
1246	"stanford-moore, g"	"<table><tr><td>Author:</td><td>stanford-moore, g</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>7</td></tr></table>"	-1.1253	-0.3223	4	2	7
1264	"sundin, t"	"<table><tr><td>Author:</td><td>sundin, t</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	1.0896	-0.2701	1	2	73
1276	"tang, xj"	"<table><tr><td>Author:</td><td>tang, xj</td></tr><tr><td>Documents:</td><td>4</td></tr><tr><td>Co-authorships:</td><td>74</td></tr></table>"	-0.5316	-0.5559	3	4	74
